Artist Name,Track Name,Popularity,unique_songs
Luh Kel,F Love,58,F Love Luh Kel
ShaqIsDope,Cali Love,46,Cali Love ShaqIsDope
JID,Skegee,63,Skegee JID
Pote Baby,In The Kitchen,51,In The Kitchen Pote Baby
Hadag Nahash,מצביעים ברגליים,23,מצביעים ברגליים Hadag Nahash
DDG,Get What You Want (feat. PnB Rock),50,Get What You Want (feat. PnB Rock) DDG
Nelly,Country Grammar (Hot Shit),1,Country Grammar (Hot Shit) Nelly
IDK,King Alfred,45,King Alfred IDK
Gwendolyn Brooks,Old Laughter,9,Old Laughter Gwendolyn Brooks
Kanye West,Gold Digger,78,Gold Digger Kanye West
Smallgod,Sinner,58,Sinner Smallgod
Rayven Justice,Hoop Dreams (feat. Bang),45,Hoop Dreams (feat. Bang) Rayven Justice
Tuna,בון וויאג',31,בון וויאג' Tuna
Marlon Craft,Lot To Give,45,Lot To Give Marlon Craft
Ameer Vann,IDFIATOK,50,IDFIATOK Ameer Vann
MC Beezy,Casamigos,44,Casamigos MC Beezy
Rich The Kid,Richard Mille Patek,64,Richard Mille Patek Rich The Kid
Benny The Butcher,Plug Talk (feat. 2 Chainz),58,Plug Talk (feat. 2 Chainz) Benny The Butcher
Gil Scott-Heron,The Revolution Will Not Be Televised,58,The Revolution Will Not Be Televised Gil Scott-Heron
A Tribe Called Quest,Check the Rhime,64,Check the Rhime A Tribe Called Quest
SR,Practice Makes Perfect,70,Practice Makes Perfect SR
Leikeli47,Zoom,54,Zoom Leikeli47
DMX,What's My Name,64,What's My Name DMX
Joyner Lucas,Zim Zimma,65,Zim Zimma Joyner Lucas
Nebu Kiniza,Questions (feat. Future),62,Questions (feat. Future) Nebu Kiniza
Kembe X,Back At It,46,Back At It Kembe X
Digable Planets,Jettin',49,Jettin' Digable Planets
Olamide,Loading (feat. Bad Boy Timz),63,Loading (feat. Bad Boy Timz) Olamide
Ray Charles,Georgia on My Mind - Original Master Recording,60,Georgia on My Mind - Original Master Recording Ray Charles
Hadag Nahash,שמש,43,שמש Hadag Nahash
N.O.R.E.,Nothin',55,Nothin' N.O.R.E.
Action Bronson,Latin Grammys,56,Latin Grammys Action Bronson
Margaret Walker,We Have Been Believers,4,We Have Been Believers Margaret Walker
Ori Shochat,חפץ חשוד,24,חפץ חשוד Ori Shochat
Wale,Good Vibes (Za),61,Good Vibes (Za) Wale
BRS Kash,Feel Better (feat. Toosii),51,Feel Better (feat. Toosii) BRS Kash
Young Stoner Life,Ski,82,Ski Young Stoner Life
Terror Danjah,Red Card Riddim,14,Red Card Riddim Terror Danjah
Tee Grizzley,Not Gone Play (feat. King Von),63,Not Gone Play (feat. King Von) Tee Grizzley
M.O.P.,Ante Up (Robbin Hoodz Theory),58,Ante Up (Robbin Hoodz Theory) M.O.P.
Quando Rondo,Purple Baby,59,Purple Baby Quando Rondo
Dizzee Rascal,Stand Up Tall (Instrumental),11,Stand Up Tall (Instrumental) Dizzee Rascal
iamjakehill,miss me,59,miss me iamjakehill
The Alchemist,TV Dinners (feat. Boldy James & Sideshow),58,TV Dinners (feat. Boldy James & Sideshow) The Alchemist
Zdot,Spin A Man,31,Spin A Man Zdot
Erica Banks,Buss It,78,Buss It Erica Banks
Tuna,לא מהם,36,לא מהם Tuna
Fredo Bang,Oppanese,57,Oppanese Fredo Bang
Erick Sermon,Music (feat. Marvin Gaye),57,Music (feat. Marvin Gaye) Erick Sermon
brakence,fuckboy,61,fuckboy brakence
Ravid Plotnik,נענע,46,נענע Ravid Plotnik
Eminem,Guilty Conscience,64,Guilty Conscience Eminem
Snow Tha Product,Never Be Me,58,Never Be Me Snow Tha Product
Kanye West,Stronger,81,Stronger Kanye West
Kanye West,Two Words,55,Two Words Kanye West
Iggy Azalea,Sip It,68,Sip It Iggy Azalea
Lil Eazzyy,Onna Come Up,71,Onna Come Up Lil Eazzyy
Esperanza Spalding,Black Gold,35,Black Gold Esperanza Spalding
aroomfullofmirrors,MIRRORS,42,MIRRORS aroomfullofmirrors
AG Club,QUESO,51,QUESO AG Club
SOB X RBE,Paramedic!,67,Paramedic! SOB X RBE
IVOXYGEN,Young Kid,59,Young Kid IVOXYGEN
Smino,MLK Dr,49,MLK Dr Smino
Lil Baby,We Win (Space Jam: A New Legacy) (and Kirk Franklin),0,We Win (Space Jam: A New Legacy) (and Kirk Franklin) Lil Baby
RMR,Vibes (feat. Tyla Yaweh),14,Vibes (feat. Tyla Yaweh) RMR
Ivy Sole,KISMET,42,KISMET Ivy Sole
Chip,Every Gyal (feat. Mavado),33,Every Gyal (feat. Mavado) Chip
Hadag Nahash,"שלום, סלאם, פיס",24,"שלום, סלאם, פיס Hadag Nahash"
Jack Harlow,Baxter Avenue,55,Baxter Avenue Jack Harlow
Juice WRLD,Life's A Mess II (with Clever & Post Malone),76,Life's A Mess II (with Clever & Post Malone) Juice WRLD
Remy Ma,Conceited (There's Something About Remy),57,Conceited (There's Something About Remy) Remy Ma
Scarface,No Tears,54,No Tears Scarface
Fabolous,Breathe,7,Breathe Fabolous
Estelle,American Boy,79,American Boy Estelle
Café Shahor Hazak,Rak Laalot,38,Rak Laalot Café Shahor Hazak
Langston Doobs,The Light,41,The Light Langston Doobs
JVC Force,Strong Island,34,Strong Island JVC Force
Margaret Walker,The Ballad of the Free,5,The Ballad of the Free Margaret Walker
Lil Tjay,Losses - Bonus,70,Losses - Bonus Lil Tjay
Peled,שרשרים,26,שרשרים Peled
A Tribe Called Quest,Find a Way,63,Find a Way A Tribe Called Quest
PnB Rock,Need Somebody,62,Need Somebody PnB Rock
Tyla Yaweh,All the Smoke (feat. Gunna & Wiz Khalifa),71,All the Smoke (feat. Gunna & Wiz Khalifa) Tyla Yaweh
Marlon Craft,Julius Randle,30,Julius Randle Marlon Craft
Rapsody,Laila’s Wisdom,39,Laila’s Wisdom Rapsody
Showbiz & A.G.,You Know - Remix,41,You Know - Remix Showbiz & A.G.
Lethal Bizzle,Pow (Forward),43,Pow (Forward) Lethal Bizzle
Soulja Boy,She Make It Clap,74,She Make It Clap Soulja Boy
Action Bronson,Cliff Hanger,48,Cliff Hanger Action Bronson
Guru,Insert A (Mental Relaxation)/Medicine,43,Insert A (Mental Relaxation)/Medicine Guru
Nipsey Hussle,What It Feels Like,63,What It Feels Like Nipsey Hussle
Young M.A,Don Diva,16,Don Diva Young M.A
Eric B. & Rakim,Microphone Fiend,48,Microphone Fiend Eric B. & Rakim
NOROZ,אין מצב,23,אין מצב NOROZ
Doley Bernays,Meant To Put A Hook,43,Meant To Put A Hook Doley Bernays
Outkast,Rosa Parks,65,Rosa Parks Outkast
Rich Boy,Throw Some D's,58,Throw Some D's Rich Boy
Elko,Fall Apart,50,Fall Apart Elko
QUE.,OG Bobby Johnson,41,OG Bobby Johnson QUE.
DJ Mesh,אוליגרכיים בקייב (feat. פלד),17,אוליגרכיים בקייב (feat. פלד) DJ Mesh
MC Lyte,Paper Thin,39,Paper Thin MC Lyte
$NOT,Can You Help Me,60,Can You Help Me $NOT
Ying Yang Twins,Get Low,71,Get Low Ying Yang Twins
DaBaby,8 Figures (feat. Meek Mill),56,8 Figures (feat. Meek Mill) DaBaby
Metro Marrs,Oh Yea,47,Oh Yea Metro Marrs
Outkast,The Whole World (feat. Killer Mike),53,The Whole World (feat. Killer Mike) Outkast
A1 x J1,Latest Trends (feat. Aitch) - Remix,74,Latest Trends (feat. Aitch) - Remix A1 x J1
PS Hitsquad,Big Steppa,53,Big Steppa PS Hitsquad
C.M.L.,Million Dolla Steppaz,2,Million Dolla Steppaz C.M.L.
Busta Rhymes,Everything Remains Raw,50,Everything Remains Raw Busta Rhymes
The Roots,You Got Me,66,You Got Me The Roots
The Sequence,Funk You Up - 12'' Version,24,Funk You Up - 12'' Version The Sequence
Dorothy Washington,Phillis Wheatley (1753-1784),4,Phillis Wheatley (1753-1784) Dorothy Washington
Miss Lafamilia,Lil Bitch,44,Lil Bitch Miss Lafamilia
Bellah,Evil Eye - A COLORS SHOW,55,Evil Eye - A COLORS SHOW Bellah
Travis Porter,Stretch,51,Stretch Travis Porter
Flatbush Zombies,Afterlife,60,Afterlife Flatbush Zombies
Rita Dove,Parsley,12,Parsley Rita Dove
Pras,Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),68,Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa) Pras
Tuna,קלאנג,34,קלאנג Tuna
Dead Prez,Hip Hop,62,Hip Hop Dead Prez
Common,The Corner,49,The Corner Common
Pastor Troy,Vica Versa,52,Vica Versa Pastor Troy
Jammz,The World,14,The World Jammz
Peled,אלפים,41,אלפים Peled
DMX,Party Up,1,Party Up DMX
Sneakbo,Touch Ah Button,31,Touch Ah Button Sneakbo
Dullah Beatz,Final Stage,12,Final Stage Dullah Beatz
SBK,Vexed Riddim,20,Vexed Riddim SBK
Deante' Hitchcock,Déjà Vu (feat. Guapdad 4000),41,Déjà Vu (feat. Guapdad 4000) Deante' Hitchcock
Dr. Dre,Forgot About Dre,76,Forgot About Dre Dr. Dre
Dragon Fli Empire,Record Store (feat. J-Live),38,Record Store (feat. J-Live) Dragon Fli Empire
Pa Salieu,Informa (feat. M1llionz),56,Informa (feat. M1llionz) Pa Salieu
True God,Money Mitch,28,Money Mitch True God
Ezra Collective,Chapter 7 (feat. Ty),49,Chapter 7 (feat. Ty) Ezra Collective
Nyck Caution,Product Of My Environment (feat. Kota the Friend & Erick the Architect),57,Product Of My Environment (feat. Kota the Friend & Erick the Architect) Nyck Caution
LightSkinKeisha,FDH,50,FDH LightSkinKeisha
Saweetie,Back Seat,64,Back Seat Saweetie
TOBi,Silhouette,43,Silhouette TOBi
Juice WRLD,Bad Boy (with Young Thug),80,Bad Boy (with Young Thug) Juice WRLD
Lil Durk,Finesse Out The Gang Way (feat. Lil Baby),74,Finesse Out The Gang Way (feat. Lil Baby) Lil Durk
Splurgeboys,Like Who,44,Like Who Splurgeboys
Ludacris,Southern Hospitality (Featuring Pharrell),53,Southern Hospitality (Featuring Pharrell) Ludacris
Chicocurlyhead,Modelo,47,Modelo Chicocurlyhead
Sueco,PRIMADONA,61,PRIMADONA Sueco
Jeezy,And Then What,33,And Then What Jeezy
Tino Sutra,TROY BOLTON,40,TROY BOLTON Tino Sutra
Bryson Tiller,Outta Time (feat. Drake),71,Outta Time (feat. Drake) Bryson Tiller
Filthy Gears,Magneto,18,Magneto Filthy Gears
NOROZ,אונייה,30,אונייה NOROZ
Dilated Peoples,This Way,50,This Way Dilated Peoples
Kari Faux,No Small Talk,42,No Small Talk Kari Faux
Bobby Sessions,Cog In The Machine,49,Cog In The Machine Bobby Sessions
Taleban Dooda,More Than Average,48,More Than Average Taleban Dooda
Paul Grant,Connection - Remix,32,Connection - Remix Paul Grant
Cold Hart,Decompose,33,Decompose Cold Hart
Cold Hart,Me and You,69,Me and You Cold Hart
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",76,"Lose Yourself - From ""8 Mile"" Soundtrack Eminem"
Pooh Shiesty,Neighbors (feat. BIG30),74,Neighbors (feat. BIG30) Pooh Shiesty
Grandmaster Flash & The Furious Five,The Message - Extended Version,50,The Message - Extended Version Grandmaster Flash & The Furious Five
Kool Moe Dee,No Respect,32,No Respect Kool Moe Dee
Rammellzee,Beat Bop - Edit,32,Beat Bop - Edit Rammellzee
Nubiyan Twist,Figure Numatic,50,Figure Numatic Nubiyan Twist
Snoop Dogg,Gin And Juice (feat. Dat Nigga Daz),74,Gin And Juice (feat. Dat Nigga Daz) Snoop Dogg
Maliibu Miitch,I Like What I Like,5,I Like What I Like Maliibu Miitch
Lil Durk,Love You Too (feat. Kehlani),55,Love You Too (feat. Kehlani) Lil Durk
ODB,Brooklyn Zoo,1,Brooklyn Zoo ODB
Hadag Nahash,עוד יהיה טוב,24,עוד יהיה טוב Hadag Nahash
Smokepurpp,Prom Queen,58,Prom Queen Smokepurpp
Rubi Rose,Whole Lotta Liquor (feat. Future & PARTYNEXTDOOR),57,Whole Lotta Liquor (feat. Future & PARTYNEXTDOOR) Rubi Rose
Rexx Life Raj,State of Mind,40,State of Mind Rexx Life Raj
Morray,That’s On God,54,That’s On God Morray
Cordae,More Life (feat. Q Tip),64,More Life (feat. Q Tip) Cordae
Saweetie,Tap In,77,Tap In Saweetie
JayDaYoungan,Spot Em,52,Spot Em JayDaYoungan
Cohen,Parash Boded,28,Parash Boded Cohen
The Primeridian,Jigsaw,32,Jigsaw The Primeridian
Action Bronson,Mongolia [Feat. Hologram & Meyhem Lauren],46,Mongolia [Feat. Hologram & Meyhem Lauren] Action Bronson
Black Thought,State Prisoner,39,State Prisoner Black Thought
Eyez,Car Bars,38,Car Bars Eyez
Curren$y,Scottie Pippens (feat. Freddie Gibbs),2,Scottie Pippens (feat. Freddie Gibbs) Curren$y
B.G.,Bling Bling,53,Bling Bling B.G.
Lil Wayne,A Milli,64,A Milli Lil Wayne
DJ Q,Sonic,12,Sonic DJ Q
M-Beat,Incredible,54,Incredible M-Beat
2t,עכשיו אני למעלה,21,עכשיו אני למעלה 2t
Digital Underground,The Humpty Dance,65,The Humpty Dance Digital Underground
Russ,Give Up,54,Give Up Russ
Aretha Franklin,Respect,73,Respect Aretha Franklin
Mis-Teeq,Why? - UK Garage MC Radio Edit,47,Why? - UK Garage MC Radio Edit Mis-Teeq
Hadag Nahash,Ma Sheba Ba (What Comes Around),33,Ma Sheba Ba (What Comes Around) Hadag Nahash
The Notorious B.I.G.,Hypnotize - 2014 Remaster,78,Hypnotize - 2014 Remaster The Notorious B.I.G.
Stetsasonic,Talkin' All That Jazz,44,Talkin' All That Jazz Stetsasonic
Birdman,STUNNAMAN (with Roddy Ricch & feat. Lil Wayne),0,STUNNAMAN (with Roddy Ricch & feat. Lil Wayne) Birdman
Hadag Nahash,מה נעשה?,31,מה נעשה? Hadag Nahash
Denzel Curry,So.Incredible.pkg [Robert Glasper Version Feat. Smino],56,So.Incredible.pkg [Robert Glasper Version Feat. Smino] Denzel Curry
Guy Mar,עץ או פלי,19,עץ או פלי Guy Mar
Peled,באסים בבגאז',30,באסים בבגאז' Peled
Rob Markman,The Dakota,28,The Dakota Rob Markman
Kanye West,Nah Nah Nah (feat. DaBaby & 2 Chainz) - Remix,69,Nah Nah Nah (feat. DaBaby & 2 Chainz) - Remix Kanye West
Hadag Nahash,מספרים,28,מספרים Hadag Nahash
Enchanting,Freaky Deaky (feat. Coi Leray),46,Freaky Deaky (feat. Coi Leray) Enchanting
Spinall,Sere - Remix,58,Sere - Remix Spinall
Foster,fools (can't help falling in love) (feat. Sody),75,fools (can't help falling in love) (feat. Sody) Foster
Lil Baby,Errbody,73,Errbody Lil Baby
Tommy B,Syernide X Tommy,24,Syernide X Tommy Tommy B
Headie One,Siberia (feat. Burna Boy),63,Siberia (feat. Burna Boy) Headie One
Tzaguy Boy,קל לדבר,27,קל לדבר Tzaguy Boy
YG,Surgery,57,Surgery YG
J. Cole,m y . l i f e (with 21 Savage & Morray),86,m y . l i f e (with 21 Savage & Morray) J. Cole
Polo G,RAPSTAR,96,RAPSTAR Polo G
2FeetBino,Backstroke,39,Backstroke 2FeetBino
Mez,Loading...,40,Loading... Mez
Young Dolph,Case Closed,68,Case Closed Young Dolph
Joyner Lucas,Isis,73,Isis Joyner Lucas
Lil Eazzyy,Onna Come Up (feat. G Herbo) [Remix],71,Onna Come Up (feat. G Herbo) [Remix] Lil Eazzyy
Lil Durk,Stay Down (with 6LACK & Young Thug),63,Stay Down (with 6LACK & Young Thug) Lil Durk
2KBABY,Great White,52,Great White 2KBABY
Phora,Fake Smiles 2,49,Fake Smiles 2 Phora
Gucci Mane,Shit Crazy (feat. BIG30),73,Shit Crazy (feat. BIG30) Gucci Mane
T.I.,Top Back,59,Top Back T.I.
Blahzay Blahzay,Danger - Original Mix,46,Danger - Original Mix Blahzay Blahzay
The Notorious B.I.G.,Ten Crack Commandments - 2014 Remaster,64,Ten Crack Commandments - 2014 Remaster The Notorious B.I.G.
DMX,Who We Be,60,Who We Be DMX
Aretha Franklin,Day Dreaming,60,Day Dreaming Aretha Franklin
Just-Ice,Cold Gettin' Dumb,31,Cold Gettin' Dumb Just-Ice
A. Nayaka,4OAK,45,4OAK A. Nayaka
BRS Kash,Throat Baby (Go Baby) (with DaBaby & City Girls) - Remix,72,Throat Baby (Go Baby) (with DaBaby & City Girls) - Remix BRS Kash
Outkast,ATLiens,67,ATLiens Outkast
Talib Kweli,Get By,57,Get By Talib Kweli
NLE Choppa,Final Warning,77,Final Warning NLE Choppa
David Banner,Like A Pimp,58,Like A Pimp David Banner
Peter Rosenberg,Stain,51,Stain Peter Rosenberg
Andy Mineo,Always In A Rush,43,Always In A Rush Andy Mineo
Jammz,Danger - Instrumental,17,Danger - Instrumental Jammz
Low Deep,Straight Flush,14,Straight Flush Low Deep
MANIK MC,Alchemy,46,Alchemy MANIK MC
Tohar,לא קל,20,לא קל Tohar
DaBaby,Baby Sitter (feat. Offset),70,Baby Sitter (feat. Offset) DaBaby
Eden Derso,תמיד,24,תמיד Eden Derso
The LOX,"Money, Power & Respect (feat. DMX & Lil' Kim)",60,"Money, Power & Respect (feat. DMX & Lil' Kim) The LOX"
The Heavytrackerz,What You Do,34,What You Do The Heavytrackerz
Run The Jewels,ooh la la (feat. Greg Nice & DJ Premier),61,ooh la la (feat. Greg Nice & DJ Premier) Run The Jewels
YoungBoy Never Broke Again,I Ain't Scared,65,I Ain't Scared YoungBoy Never Broke Again
Divine ScienZe,Happiness Is,34,Happiness Is Divine ScienZe
Wiley,Wot Do U Call It?,42,Wot Do U Call It? Wiley
Malcolm McLaren,Buffalo Gals,41,Buffalo Gals Malcolm McLaren
Aretha Franklin,One Step Ahead,49,One Step Ahead Aretha Franklin
Grip,Peaks N Pitfalls,50,Peaks N Pitfalls Grip
Wu-Tang Clan,Wu-Tang Clan Ain't Nuthing ta F' Wit,66,Wu-Tang Clan Ain't Nuthing ta F' Wit Wu-Tang Clan
Ruff Sqwad,Functions On the Low,37,Functions On the Low Ruff Sqwad
Young Stoner Life,Slam The Door,65,Slam The Door Young Stoner Life
Rude Kid,Bloody Hell,12,Bloody Hell Rude Kid
DMX,X Gon' Give It To Ya,78,X Gon' Give It To Ya DMX
Kanye West,POWER,78,POWER Kanye West
YSB Tril,Touchdown (with Bankrol Hayden),64,Touchdown (with Bankrol Hayden) YSB Tril
Latto,Muwop (feat. Gucci Mane),63,Muwop (feat. Gucci Mane) Latto
Mazen,Dork,31,Dork Mazen
Daisha McBride,Pump Fake,28,Pump Fake Daisha McBride
Bizzy Crook,Come Again,44,Come Again Bizzy Crook
KRS-One,Step into a World (Rapture's Delight),59,Step into a World (Rapture's Delight) KRS-One
Peled,לא כמו כולם,22,לא כמו כולם Peled
JAY-Z,Can I Get A...,60,Can I Get A... JAY-Z
Xzibit,What U See Is What U Get,56,What U See Is What U Get Xzibit
The Mouse Outfit,Got Me Thinkin' (feat. Sparkz),48,Got Me Thinkin' (feat. Sparkz) The Mouse Outfit
carolesdaughter,Violent,79,Violent carolesdaughter
Teddy Neguse,זה בדם שלי,44,זה בדם שלי Teddy Neguse
ARIA,Pretty Lil Thing,13,Pretty Lil Thing ARIA
Snoop Dogg,Who Am I (What's My Name)?,71,Who Am I (What's My Name)? Snoop Dogg
Nas,Halftime,60,Halftime Nas
Kid Abstrakt,"Jazz & Coffee, Pt. 4",45,"Jazz & Coffee, Pt. 4 Kid Abstrakt"
Gang Starr,Mass Appeal,61,Mass Appeal Gang Starr
UGK,One Day,53,One Day UGK
Megan Thee Stallion,Body,82,Body Megan Thee Stallion
Kavale,Down,42,Down Kavale
Bugzy Malone,Skeletons,60,Skeletons Bugzy Malone
Denzel Curry,Pyro [Sango Leak Feat. Kenny Mason],49,Pyro [Sango Leak Feat. Kenny Mason] Denzel Curry
Rapsody,Power,39,Power Rapsody
Bubba Sparxxx,Ugly,14,Ugly Bubba Sparxxx
Central Cee,Commitment Issues,76,Commitment Issues Central Cee
Public Enemy,Fight The Power,58,Fight The Power Public Enemy
Projexx,Sidepiece,52,Sidepiece Projexx
Mike WiLL Made-It,"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)",60,"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd) Mike WiLL Made-It"
Avelino,Demons,51,Demons Avelino
Hadag Nahash,לא מספיק,31,לא מספיק Hadag Nahash
Master P,"Bout It, Bout It II",50,"Bout It, Bout It II Master P"
Aretha Franklin,I Get High,34,I Get High Aretha Franklin
50 Cent,How To Rob,49,How To Rob 50 Cent
Marco Luka,big talk,55,big talk Marco Luka
Filthy Gears,Scrub,20,Scrub Filthy Gears
Future,Drankin N Smokin,79,Drankin N Smokin Future
Peled,זומבי,26,זומבי Peled
Caleborate,Contact,55,Contact Caleborate
Jack Harlow,Already Best Friends (feat. Chris Brown),77,Already Best Friends (feat. Chris Brown) Jack Harlow
Ludacris,Saturday (Oooh! Ooooh!),49,Saturday (Oooh! Ooooh!) Ludacris
Zack Cokas,Y&R,42,Y&R Zack Cokas
The Lady Of Rage,Afro Puffs,50,Afro Puffs The Lady Of Rage
Skyzoo,Bed-Stuy is Burning,50,Bed-Stuy is Burning Skyzoo
PANTHEPACK,DNA,52,DNA PANTHEPACK
Ezra Collective,What Am I to Do?,47,What Am I to Do? Ezra Collective
Mosez Jones,Paperview,29,Paperview Mosez Jones
Ravid Plotnik,בור ועם הארץ (נצ'י נצ'),41,בור ועם הארץ (נצ'י נצ') Ravid Plotnik
Joyner Lucas,Ramen & OJ,82,Ramen & OJ Joyner Lucas
Gucci Mane,Make Love,52,Make Love Gucci Mane
Hadag Nahash,Shirat Hastiker (Sticker Song),40,Shirat Hastiker (Sticker Song) Hadag Nahash
Migos,Slippery (feat. Gucci Mane),72,Slippery (feat. Gucci Mane) Migos
Your Old Droog,Pravda,31,Pravda Your Old Droog
Tuna,עולם משוגע,49,עולם משוגע Tuna
The Silhouettes Project,Eucalyptus,35,Eucalyptus The Silhouettes Project
Grandmaster Flash & The Furious Five,Scorpio,28,Scorpio Grandmaster Flash & The Furious Five
שם טוב האבי,האזרח הקטן,42,האזרח הקטן שם טוב האבי
Café Shahor Hazak,Sof Shavua,22,Sof Shavua Café Shahor Hazak
P Money,This Year,54,This Year P Money
Studio Murena,Long John Silver,35,Long John Silver Studio Murena
Jazz Liberatorz,"Ease My Mind - Feat. Tre Hardson, Fat Lip & Omni",49,"Ease My Mind - Feat. Tre Hardson, Fat Lip & Omni Jazz Liberatorz"
Ravid Plotnik,איידישע ראסטה מאן (נצ'י נצ'),35,איידישע ראסטה מאן (נצ'י נצ') Ravid Plotnik
LIL DUSTY G,Squash,54,Squash LIL DUSTY G
Manga Saint Hilare,Mirrorman (Face Myself),33,Mirrorman (Face Myself) Manga Saint Hilare
KAS,Inhale,39,Inhale KAS
Shi 360,קבל,24,קבל Shi 360
Soulico,Put 'Em Up (feat. Lyrics Born & Axum),15,Put 'Em Up (feat. Lyrics Born & Axum) Soulico
MFnMelo,LL Cool J,43,LL Cool J MFnMelo
Low End Activist,Get Dark - Silas Remix,0,Get Dark - Silas Remix Low End Activist
Lil Muk,Living Life (feat. Lil Baby & YXNG K.A.),45,Living Life (feat. Lil Baby & YXNG K.A.) Lil Muk
Saweetie,Best Friend (feat. Doja Cat),89,Best Friend (feat. Doja Cat) Saweetie
Central Cee,Gangbiz,62,Gangbiz Central Cee
Funk Flex,You Know,64,You Know Funk Flex
Tobe Nwigwe,GIVE IT BACK,38,GIVE IT BACK Tobe Nwigwe
Lil Peep,california world,67,california world Lil Peep
Tuna,רוק 30,45,רוק 30 Tuna
Peled,חרקות,22,חרקות Peled
Black Eyed Peas,Joints & Jam,43,Joints & Jam Black Eyed Peas
Jazz Spastiks,Super Fly Funk,42,Super Fly Funk Jazz Spastiks
Ravid Plotnik,עגל הזהב,32,עגל הזהב Ravid Plotnik
Tre' Amani,Come Thru,38,Come Thru Tre' Amani
Dizzee Rascal,"Fix Up, Look Sharp",52,"Fix Up, Look Sharp Dizzee Rascal"
Tom The Mail Man,Bad Hoe,51,Bad Hoe Tom The Mail Man
Toosii,be cautious,57,be cautious Toosii
French The Kid,Old Friends,62,Old Friends French The Kid
D Double E,Street Fighter Riddim,41,Street Fighter Riddim D Double E
Vory,This Side ft. Landstrip Chip,49,This Side ft. Landstrip Chip Vory
DMX,Slippin',67,Slippin' DMX
The Silhouettes Project,Standing There,49,Standing There The Silhouettes Project
Tal Hefter,זקנה יחפה ברחוב,21,זקנה יחפה ברחוב Tal Hefter
Mia X,The Party Don't Stop,35,The Party Don't Stop Mia X
A$AP Ferg,Move Ya Hips (feat. Nicki Minaj & MadeinTYO),64,Move Ya Hips (feat. Nicki Minaj & MadeinTYO) A$AP Ferg
Hadag Nahash,Hine Ani Ba (Here I Come),31,Hine Ani Ba (Here I Come) Hadag Nahash
TiaCorine,Luigi,51,Luigi TiaCorine
ShrekDiMC,הבשורה,11,הבשורה ShrekDiMC
3rd Bass,The Gas Face,26,The Gas Face 3rd Bass
Sway,Little Derek,28,Little Derek Sway
Kevo Muney,Sell Out (feat. NLE Choppa),44,Sell Out (feat. NLE Choppa) Kevo Muney
Skinny Atlas,you never meant it,46,you never meant it Skinny Atlas
Lil Jon & The East Side Boyz,What U Gon' Do,59,What U Gon' Do Lil Jon & The East Side Boyz
Paris Texas,HEAVY METAL,54,HEAVY METAL Paris Texas
Saucy Santana,Walk,53,Walk Saucy Santana
KwolleM,Never Invited [Mellow Mix],35,Never Invited [Mellow Mix] KwolleM
Only The Family,Hellcats & Trackhawks,77,Hellcats & Trackhawks Only The Family
Nas,N.Y. State of Mind,66,N.Y. State of Mind Nas
Damu The Fudgemunk,Tulips,47,Tulips Damu The Fudgemunk
Lost Boyz,Me And My Crazy World,50,Me And My Crazy World Lost Boyz
Kevin Gates,Plug Daughter 2,65,Plug Daughter 2 Kevin Gates
Ying Yang Twins,Wait (The Whisper Song),59,Wait (The Whisper Song) Ying Yang Twins
Ido B & Zooki,קודם כל המשפחה,30,קודם כל המשפחה Ido B & Zooki
Lyri Hardof Jaffe,Astronaut,7,Astronaut Lyri Hardof Jaffe
Westside Gunn,Liz Loves Luger (feat. Armani Caesar),44,Liz Loves Luger (feat. Armani Caesar) Westside Gunn
Moneybagg Yo,GO! (with BIG30),67,GO! (with BIG30) Moneybagg Yo
Isaiah Rashad,Lay Wit Ya (feat. Duke Deuce),73,Lay Wit Ya (feat. Duke Deuce) Isaiah Rashad
Nego True,Pick Your Poison,20,Pick Your Poison Nego True
Donny Hathaway,Little Ghetto Boy,41,Little Ghetto Boy Donny Hathaway
Day Sulan,Bailar,58,Bailar Day Sulan
Larry June,Wait On Me,53,Wait On Me Larry June
A Tribe Called Quest,Electric Relaxation,67,Electric Relaxation A Tribe Called Quest
Blanco,The Great Escape (feat. Central Cee),68,The Great Escape (feat. Central Cee) Blanco
Lil Nas X,SUN GOES DOWN,42,SUN GOES DOWN Lil Nas X
Abra Cadabra,Spin This Coupe,61,Spin This Coupe Abra Cadabra
Billie Holiday,Strange Fruit,61,Strange Fruit Billie Holiday
Patrick Paige II,Freestyle,0,Freestyle Patrick Paige II
Klass Murda,Legendary,52,Legendary Klass Murda
Yung Mal,Wassup With Me (feat. G Herbo),32,Wassup With Me (feat. G Herbo) Yung Mal
Peled,סטנגה,25,סטנגה Peled
Langston Hughes,I Too,11,I Too Langston Hughes
Faze Miyake,Stay Woke,2,Stay Woke Faze Miyake
ICE-T,Colors - 2014 Remaster,44,Colors - 2014 Remaster ICE-T
Jaypitts,Blk Rose,44,Blk Rose Jaypitts
Tru Carr,Beat It Up,57,Beat It Up Tru Carr
dying in designer,Lovely,51,Lovely dying in designer
